0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:18:04 +0700] "GET /project_fruit/checkout HTTP/1.1" 200 41965
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:18:34 +0700] "GET /project_fruit/checkout?shipping_method=1 HTTP/1.1" 200 41982
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:19:21 +0700] "GET /project_fruit/checkout?shipping_method=2 HTTP/1.1" 200 41982
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:23:53 +0700] "GET /project_fruit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:23:55 +0700] "GET /project_fruit/ HTTP/1.1" 200 188338
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:24:00 +0700] "GET /project_fruit/user/login.jsp HTTP/1.1" 200 5036
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:24:04 +0700] "POST /project_fruit/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:24:04 +0700] "GET /project_fruit/home HTTP/1.1" 200 188388
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:24:06 +0700] "GET /project_fruit/add-cart?addToCartPid=51 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:24:06 +0700] "GET /project_fruit/home HTTP/1.1" 200 188388
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:24:08 +0700] "GET /project_fruit/show-cart HTTP/1.1" 200 15185
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:24:08 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:24:08 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:24:08 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:24:08 +0700] "GET /project_fruit/checkout HTTP/1.1" 405 752
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:30:32 +0700] "GET /project_fruit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:30:34 +0700] "GET /project_fruit/ HTTP/1.1" 200 188338
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:30:36 +0700] "GET /project_fruit/user/login.jsp HTTP/1.1" 200 5036
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:30:39 +0700] "POST /project_fruit/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:30:39 +0700] "GET /project_fruit/home HTTP/1.1" 200 188388
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:30:41 +0700] "GET /project_fruit/add-cart?addToCartPid=51 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:30:41 +0700] "GET /project_fruit/home HTTP/1.1" 200 188388
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:30:42 +0700] "GET /project_fruit/show-cart HTTP/1.1" 200 15185
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:30:42 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:30:42 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:30:42 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:30:44 +0700] "GET /project_fruit/checkout HTTP/1.1" 200 41994
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:30:51 +0700] "GET /project_fruit/checkout?shipping_method=2 HTTP/1.1" 200 42011
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:32:16 +0700] "GET /project_fruit/checkout?confirm=1&receiver_name=Ng%C3%B4+Ti%E1%BA%BFn+Ph%C3%A1t&phone=0312468945&email=tienphat%40gmail.com&address=144+Man+Thi%E1%BB%87n&shipping_method=2&payment_method=COD HTTP/1.1" 200 42011
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:33:00 +0700] "GET /project_fruit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:33:02 +0700] "GET /project_fruit/ HTTP/1.1" 200 188338
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:33:04 +0700] "GET /project_fruit/user/login.jsp HTTP/1.1" 200 5036
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:33:09 +0700] "POST /project_fruit/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:33:09 +0700] "GET /project_fruit/home HTTP/1.1" 200 188388
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:33:10 +0700] "GET /project_fruit/add-cart?addToCartPid=50 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:33:10 +0700] "GET /project_fruit/home HTTP/1.1" 200 188388
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:33:11 +0700] "GET /project_fruit/show-cart HTTP/1.1" 200 15185
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:33:11 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:33:11 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:33:11 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:33:13 +0700] "GET /project_fruit/checkout HTTP/1.1" 200 41995
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:33:19 +0700] "GET /project_fruit/checkout?shipping_method=1 HTTP/1.1" 200 42012
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:33:39 +0700] "GET /project_fruit/checkout?shipping_method=4 HTTP/1.1" 200 42012
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:33:54 +0700] "POST /project_fruit/checkout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:33:54 +0700] "GET /project_fruit/order-success.jsp?invoiceId=5 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:10 +0700] "GET /project_fruit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:11 +0700] "GET /project_fruit/ HTTP/1.1" 200 188338
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:14 +0700] "GET /project_fruit/add-cart?addToCartPid=50 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:14 +0700] "GET /project_fruit/ HTTP/1.1" 200 188338
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:17 +0700] "GET /project_fruit/home?category=hopquanguyencat HTTP/1.1" 200 85912
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:17 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:17 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:17 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:19 +0700] "GET /project_fruit/add-cart?addToCartPid=68 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:19 +0700] "GET /project_fruit/home?category=hopquanguyencat HTTP/1.1" 200 85912
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:19 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:19 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:19 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:20 +0700] "GET /project_fruit/user/login.jsp HTTP/1.1" 200 5036
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:24 +0700] "POST /project_fruit/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:24 +0700] "GET /project_fruit/home HTTP/1.1" 200 188388
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:26 +0700] "GET /project_fruit/show-cart HTTP/1.1" 200 16293
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:26 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:26 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:26 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:37:27 +0700] "GET /project_fruit/checkout HTTP/1.1" 200 42450
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:38:05 +0700] "GET /project_fruit/checkout?shipping_method=1 HTTP/1.1" 200 42466
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:38:23 +0700] "POST /project_fruit/checkout HTTP/1.1" 200 32768
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:53:59 +0700] "GET /project_fruit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:01 +0700] "GET /project_fruit/ HTTP/1.1" 200 188338
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:06 +0700] "GET /project_fruit/home?category=hopquanguyencat HTTP/1.1" 200 85912
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:06 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:06 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:06 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:08 +0700] "GET /project_fruit/add-cart?addToCartPid=75 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:08 +0700] "GET /project_fruit/home?category=hopquanguyencat HTTP/1.1" 200 85912
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:08 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:08 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:08 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:09 +0700] "GET /project_fruit/show-cart HTTP/1.1" 200 15112
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:09 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:09 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:09 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:11 +0700] "GET /project_fruit/user/login.jsp HTTP/1.1" 200 5036
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:14 +0700] "POST /project_fruit/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:14 +0700] "GET /project_fruit/home HTTP/1.1" 200 188388
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:16 +0700] "GET /project_fruit/show-cart HTTP/1.1" 200 15136
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:17 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:17 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:17 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:18 +0700] "GET /project_fruit/checkout HTTP/1.1" 200 43263
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:26 +0700] "POST /project_fruit/update-shipping HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:38 +0700] "POST /project_fruit/apply-voucher HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:54:38 +0700] "GET /project_fruit/checkout HTTP/1.1" 200 43835
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:55:08 +0700] "POST /project_fruit/checkout HTTP/1.1" 200 34290
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:55:10 +0700] "GET /project_fruit/home HTTP/1.1" 200 188388
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:55:25 +0700] "GET /project_fruit/show-cart HTTP/1.1" 200 13986
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:55:25 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:55:25 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:55:25 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:56:50 +0700] "GET /project_fruit/home?category=hopquanguyencat HTTP/1.1" 200 85962
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:56:50 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:56:50 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:56:50 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:56:52 +0700] "GET /project_fruit/add-cart?addToCartPid=69 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:56:52 +0700] "GET /project_fruit/home?category=hopquanguyencat HTTP/1.1" 200 85962
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:56:52 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:56:52 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:56:52 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:56:53 +0700] "GET /project_fruit/show-cart HTTP/1.1" 200 15153
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:56:53 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:56:53 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:56:53 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:56:54 +0700] "GET /project_fruit/checkout HTTP/1.1" 200 43387
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:57:30 +0700] "GET /project_fruit/checkout HTTP/1.1" 200 43387
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:57:32 +0700] "GET /project_fruit/home HTTP/1.1" 200 188388
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:57:33 +0700] "GET /project_fruit/show-cart HTTP/1.1" 200 15128
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:57:33 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:57:33 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:57:33 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:57:34 +0700] "GET /project_fruit/checkout HTTP/1.1" 200 43387
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:58:07 +0700] "POST /project_fruit/update-shipping HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:58:12 +0700] "POST /project_fruit/apply-voucher HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:58:12 +0700] "GET /project_fruit/checkout HTTP/1.1" 200 43827
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:58:33 +0700] "POST /project_fruit/update-shipping HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:58:35 +0700] "POST /project_fruit/checkout HTTP/1.1" 200 34394
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:58:42 +0700] "GET /project_fruit/home HTTP/1.1" 200 188388
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:00:41 +0700] "GET /project_fruit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:00:43 +0700] "GET /project_fruit/ HTTP/1.1" 200 188338
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:00:44 +0700] "GET /project_fruit/user/login.jsp HTTP/1.1" 200 5036
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:00:46 +0700] "GET /project_fruit/user/register.jsp HTTP/1.1" 200 3827
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:20 +0700] "POST /project_fruit/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:20 +0700] "GET /project_fruit/user/login.jsp HTTP/1.1" 200 5036
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:36 +0700] "POST /project_fruit/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:36 +0700] "GET /project_fruit/home HTTP/1.1" 200 188388
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:38 +0700] "GET /project_fruit/user/user.jsp HTTP/1.1" 200 19289
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:38 +0700] "GET /project_fruit/user/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:38 +0700] "GET /project_fruit/user/img/logoBank/vnpost.webp HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:38 +0700] "GET /project_fruit/user/img/logoBank/grab.jpg HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:42 +0700] "GET /project_fruit/home?category=hopquanguyencat HTTP/1.1" 200 85962
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:42 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:42 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:42 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:44 +0700] "GET /project_fruit/add-cart?addToCartPid=68 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:44 +0700] "GET /project_fruit/home?category=hopquanguyencat HTTP/1.1" 200 85962
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:44 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:44 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:44 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:46 +0700] "GET /project_fruit/show-cart HTTP/1.1" 200 15166
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:46 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:46 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:01:01:46 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
